Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Baghdad,6183000.0,787.0,15242.553,,104.7705314009662,1.42336824585067,,,,,,29.12887206,0.0,0.2032903771345096,,,655.0,724.0,192.0,736.0,680.0,981.0
Milan,1366180.0,754.0,5882.3037,77.67,406.6898190458783,0.9992440431345956,20657.48189896322,30.3617981814713,0.36,0.41,139.52,21.61879347,0.278478821375563,0.7621590965651872,0.0314640953383862,0.476956248532463,101.0,101.0,95.0,158.0,477.0,304.0
Mexico City,21804000.0,2114.0,14952.237,36.39,115.4987445788633,0.9120207433602556,3402.357374022207,22.3380050964688,0.207,0.713,256.54,,0.217632418832061,0.4625897488404193,,,250.0,85.0,69.0,642.0,504.0,529.0
Amsterdam,1459402.0,345.0,3690.6267,80.65,280.5299539170507,2.709657498764086,99162.03410914802,59.3777009507346,0.38,0.2,93.52,28.71433679,0.192348770659386,0.7762423856028591,0.0012241677979425,0.345721786438937,28.0,50.0,30.0,61.0,343.0,63.0
Lagos,16637000.0,1196.0,11335.658,36.5,177.7854195323246,0.4416780124666632,,,0.15,0.72,,23.13649915,0.0244020990398212,0.06945655671720233,0.0510855166961196,0.275404641880163,513.0,359.0,94.0,844.0,708.0,896.0
Lisbon,2719000.0,444.0,5729.2183,51.59,335.8050847457627,3.133810560695725,,13.1933225632741,0.47,0.35,137.22,27.56366344,0.262030492898462,0.8742410412082378,0.0016355331074089,0.231570263223857,107.0,201.0,144.0,102.0,69.0,141.0
Riyadh,7237000.0,1016.0,7139.64,47.54,201.3479359730413,2.416336178611264,302.758000319249,,0.92,0.02,169.57,37.0810885,0.0,0.6698965962605089,,,118.0,44.0,3.0,580.0,697.0,626.0
Johannesburg,8000000.0,1638.0,4046.876,43.27,259.7903671789596,1.483529117046757,235.0047031324134,7.13392162829225,0.37,0.32,224.38,28.62634759,0.0,0.1540278183778889,0.0818429368267992,0.115571994570403,380.0,312.0,39.0,923.0,365.0,371.0
Madrid,112254.0,781.0,10242.271,62.02,200.7943512797882,1.659945536492085,35214.33232733195,44.7375537060962,0.29,0.42,146.49,27.28464833,0.65639551787892,0.6312604019448668,0.0046848946938373,0.372493361303778,47.0,51.0,45.0,167.0,102.0,278.0
Istanbul,16079000.0,1340.0,23248.674,49.0,101.8627518869884,0.641097002352855,4058.472222132524,10.3185838409288,0.14,0.41,258.41,34.15338986,0.329339184194668,0.5978115215902099,0.0542675026496754,0.381915295985119,199.0,158.0,17.0,395.0,507.0,801.0
Dubai,3331420.0,766.0,3691.8389,69.1,304.752275025278,3.791168332260045,1553.004093933549,24.7826384610118,0.5,0.01,178.92,42.36735979,0.0886677002012175,0.4060414512731577,0.076941933752917,0.0595959094162694,,,,,,
London,383822.0,153.0,10578.674,83.27,160.8812366935111,2.145875467774795,8314.604919386707,53.4266952844422,0.438,0.416,185.76,35.91526332,0.0051846279671281,0.8709553002937505,0.0036279870039681,0.228901093684917,2.0,7.0,1.0,292.0,197.0,72.0
Los Angeles,12121244.0,5633.0,5619.5396,78.72,443.8313979598383,1.526700515058425,,4.41840361156469,0.8470000000000001,0.051,239.83,,0.072730206300689,,0.0472830301768291,0.313022054686536,7.0,2.0,19.0,280.0,79.0,184.0
New York,18972871.0,5384.0,15576.146,100.0,530.1925593568891,1.25036955792702,5688.913082029516,21.3097382642789,0.562,0.314,175.13,,0.428087814247031,0.7102611045468766,0.0136684242539925,0.264298540155382,1.0,1.0,4.0,278.0,353.0,184.0
Chandigarh,1055450.0,274.0,6426.0103,,119.4649446494465,,135.9905098321836,,,,,28.81999808,0.0,0.5484572458630768,,,584.0,284.0,468.0,849.0,887.0,380.0
Almaty,1916822.0,318.0,5419.066,,217.0004086636698,,3831.740498819283,3.94764180344899,,,101.4,27.95216055,0.0855662479747044,0.6245672330400301,,,260.0,338.0,55.0,313.0,721.0,605.0
Yangon,5209541.0,524.0,12263.296,,103.6414565826331,,,,,,,22.93085144,0.0,0.1624152300582739,,,680.0,357.0,683.0,734.0,492.0,994.0
Colombo,212967.0,1154.0,8613.128,,197.9048697621744,,,,,,257.93,19.90802784,0.0,0.1519955423296719,,,449.0,366.0,381.0,666.0,473.0,624.0
New Taipei [Taipei],9078000.0,1014.0,15701.5,,112.813082177603,,,73.5197248042157,,,120.12,26.16185677,0.273560382770564,,,,65.0,243.0,25.0,106.0,262.0,98.0
