Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance),country_code,region
0.3842923642249044,0.4914091181077008,-0.08798624212366887,,-0.5819062068878817,-0.3927225727592634,-0.1942583620968574,2.1927447157592446,,,,,-1.2861256769330662,-0.24835177619752352,0.42231659017036655,-0.4576205746622571,-1.1083715945356027,-0.6904547663989197,-0.2610395729553312,0.9073743040709694,0.520679522596761,CHN,East and Southeast Asia
0.4985927515129218,-0.2555287933921585,0.9668465435621054,,0.30307190882050034,-0.39113123942059613,-0.24791458601712926,0.01065479228934207,-0.43886190723895935,0.5705255784155417,,,-0.5717972180718105,,,0.44596592363526505,0.8241426829188465,0.07850156120912613,-0.1422667534249495,1.161938175139893,0.520679522596761,CHN,East and Southeast Asia
1.4405902628428073,0.6459742516800469,-0.161927795455985,-0.5194829146066666,0.8810208874629487,-0.404788563529657,-0.01457207378864093,0.9974188214678524,-0.5126763688821968,0.9530985307010856,1.0161365040678367,,2.0057394478685993,-0.28800465165006894,-0.4753184628907908,-0.38425244018510785,-0.9868544695841059,-0.8532518267483709,-0.32247378995380455,0.08096405596315978,1.6194500554746343,RUS,Europe and North America
0.17314099788573858,-0.2844621681495435,0.05598933836358833,0.1982912315185319,,-0.018337373350342582,-0.3037065800879917,-0.9366697849392731,-1.3000306264100616,1.4231167292233258,,,-1.2501049852038,-0.29490153483932385,-0.4137510901870242,0.9170665765938022,0.6791061144283503,-0.30944036983637446,1.8563931062587158,-1.7415656876317418,1.2176342942603957,TZA,Sub-saharan Africa
-0.5559915881627743,-0.40324128557459754,0.40450843459494756,-0.6075648594314296,0.2601958199750984,-0.13854435099169118,0.038582680725399755,0.07899378178361606,,,,1.2648325880179654,-0.9804899739540076,,,0.24516892401359344,0.8163028684058468,-0.7666576457114287,0.4843622599594784,0.9959182592253776,1.2496373194898485,UZB,Central and South Asia
0.3240986691442326,-0.01492494014653614,0.10812131277104045,,-0.7518072458505644,,,3.350151626059237,,,-1.2185974444766563,0.2165029246634352,-0.46902330706173645,,,-1.3110078230543614,-0.3988683811091213,-1.1511358095154516,-1.588018660122355,-1.2139912881700599,-1.3959460994782347,TWN,East and Southeast Asia
-0.4463806278883675,-0.5022238834288093,-0.24110072206266694,-1.2142995325594532,-0.8084266321883389,-0.3548480466909329,,-0.7775982830519512,,,,-0.44815654054413323,-0.35893796987392873,,,1.9905582284173542,1.4003690496243315,1.1349505698598197,1.926018552190319,1.4349487035326516,-0.39318464228871935,IND,Central and South Asia
-0.13713856291285237,2.029446407842375,-0.7508042349804396,0.7005457254129266,3.3347354208807087,0.2760345892542628,-0.19102315105706025,-1.1161538002150289,2.1323418400004743,-1.6483975448406127,-0.05153520519160661,,1.0878978903086856,,,-1.4924974188662568,-1.327886400899597,-1.158063343998407,-0.7115571642774688,-1.1475833218042537,-1.0901394139523541,USA,Europe and North America
2.7402330096632466,4.255032050364382,,-0.3929822491668469,-0.40659086933124483,-0.2947864130447748,-0.2700638370980837,1.3626597069798096,-0.7177165401134117,0.023992789436193422,,,-1.4585073310100394,-0.22609473145590664,0.8448192186664163,-0.5387116706633168,-0.9633350260451065,-1.036831490546688,0.3860675127619211,0.28387728652534516,0.520679522596761,CHN,East and Southeast Asia
-0.6373715701776154,-0.5075537156209592,-0.3974242250114714,,-0.8948459982056816,,-0.32486699052539164,-0.46914027913563694,,,,-0.1055551631029909,-1.7580163089499556,,,1.8940212093684736,1.6238037632448257,1.304675164692226,1.3198676111387155,1.0992195402388538,1.3634258536390131,PAK,Central and South Asia
-0.24908057475428208,0.24547543266992858,-0.7046477118404848,1.552316872707712,1.3991291588624153,0.7262387223367924,0.04466663046873091,0.1741668538148707,1.2506691037062507,-1.1237260674204383,0.06280272876363167,0.6317024774652852,-0.6116818125750497,-0.2952736647736416,-0.46942233272516287,-1.5002203803901673,-1.2769276065650983,-1.2065560853790946,-1.080162466268309,-0.8413688102285921,-1.680417434851147,AUS,Australia and New Zealand
-0.3857811326161405,-0.4390273017218895,1.0674198611017858,,-0.369304639777106,-0.41798280688455347,-0.3038077454010555,-0.5085630972719695,,,,,-0.46902330706173645,,,0.7008236539243098,1.1377352634388382,0.8959506301978595,-0.18322289809059836,0.9442676187186395,0.520679522596761,CHN,East and Southeast Asia
0.34019541007591786,1.2314943882176532,-0.8097855685386119,,1.0125278851572002,-0.16812332333620206,-0.26095163101583047,1.2792008654147207,-0.5536844031284398,0.056784756774954356,,0.11189162475760177,-0.46902330706173645,,,-0.9557515929544809,-0.36358921580062226,-0.5068751026006024,-1.4938195273913626,-0.5646689503710665,-1.6519703013138556,JPN,East and Southeast Asia
-0.7603107672101881,-0.534964281180587,-0.7616984067973169,,-0.009378733391480336,1.651202053414718,-0.2284922843110698,-0.7301429786647347,0.6150445728894848,-0.861390328710351,,-0.033757022663031086,-0.46902330706173645,,,-0.41900576704270487,0.8359024046883462,0.5149362336353143,-1.1170229964673928,-1.6972937100545378,-1.6519703013138556,JPN,East and Southeast Asia
-0.29879096295305024,-0.2646656485787011,-0.6894942957738693,0.6073100497739486,0.5503972071947072,-0.1659160648916406,0.24493605646149524,1.3696521133961617,-0.307636197650982,-0.3039268839514156,-1.542975521962571,-0.29175357336484564,1.213155678885107,-0.3019834646195924,-0.38073377171862227,-1.3959603998173762,-1.167170203383101,-1.0645416284785096,-1.5552537443898358,-0.47243566375189133,-1.3639430742487821,DEU,Europe and North America
-0.5102761675831354,-0.7770909436239665,-0.4699777625358956,,-0.26393072644693993,,-0.29082952176433097,-0.8566802612779629,,,,,-0.46902330706173645,,,0.6583473655428023,0.9848588804353423,0.8266752853683058,0.24681662089871487,0.30970260677871425,0.520679522596761,CHN,East and Southeast Asia
-0.1797801823081919,-0.7420663320755532,0.39516547700596377,-0.6272427407220683,-0.027803876704484805,-0.40696511896469123,,0.6054929659253007,,,,,-0.46902330706173645,,,-0.3070228249460034,-0.9907743768406058,-0.47570119742730327,-0.1299799100252548,1.176695500998961,0.520679522596761,CHN,East and Southeast Asia
-0.582922788408789,-0.5029852880276878,-0.2423307780279371,,0.22449214563350486,,-0.3064414947688214,-0.039149795657188645,,,,,-0.46902330706173645,,,1.291630210503459,0.8907811062793448,2.0043561474707183,-0.08902376535960593,1.206210152717097,0.520679522596761,CHN,East and Southeast Asia
1.4794118145015778,,0.3605289303181885,0.036651492345429304,-0.8219408231199422,,,0.9029196985219945,-0.7874301983320247,-0.8122023777022096,,-4.068675922886307,-1.2113462918232167,-0.2830383115280916,0.6265200904508201,-0.766539035618675,-1.2063692759481002,-1.0680053957199873,0.5089359467588677,-0.14039583192286068,0.520679522596761,CHN,East and Southeast Asia
,-0.6781083457697548,0.7749156252664016,,-0.6332317302195948,,,-0.24200188953054252,,,,,-0.46902330706173645,,,0.7471614230677724,0.20871724364836272,1.602559147459307,0.2713903076981042,0.693393079114483,0.520679522596761,CHN,East and Southeast Asia
1.8415208520992374,0.41983708581311696,1.0093097203005224,-0.7856028330133981,-0.7135460242711338,-0.4124206530387149,-0.31452097421783737,-0.9176940394346085,-0.2584265565554904,-0.08531376835967636,1.1529926049820014,-0.061159156833968026,-1.772994340337794,,,-0.29929986342209297,-0.716380868885613,-1.0402952577881657,0.9062105500156619,0.029313415456421677,1.2709726696428167,EGY,West Asia and North Africa
-0.7506789643968974,-0.6727785135776049,0.26310050509582433,,-0.7283715181709094,,,0.22537809257227454,,,,0.3648258809831356,-0.35893796987392873,,,1.206677633740444,0.2008774291353629,1.6094866819422624,1.3075807677390208,0.7598010454802892,-0.39318464228871935,IND,Central and South Asia
-0.7064441734495126,-0.5243046167962873,-0.6653553896910882,1.3025951887098461,0.30651650433009514,0.07948331672000468,8.141380369228687,2.4910271116040232,-0.02057995792728125,-0.6318465573390246,-1.7349623075003144,0.6345861473741352,1.7077432659744716,-0.30141657957500173,-0.28100037731221855,-1.4538826112467045,-1.1554104816136015,-1.1338169733080632,-1.772321311117775,-0.9151554395239322,-1.5204023087038838,NLD,Europe and North America
-0.7190540086018956,-0.2128901358549596,-0.48890947680220204,1.162975935742934,1.1026080376425607,-0.31769487913686967,1.435675796658404,0.728318065402913,-0.10259602641976724,0.5158722995176068,-0.8420005143015071,-0.5276276975393225,1.6339164268113544,-0.2772626686110515,-0.1999615864634364,-1.1719945156239733,-0.9554952115321067,-0.9086721026120138,-1.3750467078609807,-0.4207850232451532,-0.6634324108929859,ITA,Europe and North America
-0.25312924326542724,0.39318792485236764,-0.6771851283815392,1.8324924206077564,3.0361322677610016,-0.22818009622542143,-0.264704697412143,0.744431776930049,1.5090197194575812,-0.9925581980653946,0.4496881317734628,,0.4065430507494323,-0.30096668781900193,-0.40136802189063747,-1.511804822676033,-1.3082868646170975,-1.21348361986205,-1.1047361530676982,-1.0221460520021755,-1.0901394139523541,USA,Europe and North America
0.5921973290316296,0.4601915295536802,-0.44317118735013655,1.4511163403558558,0.15760878068845605,-0.4882334150620126,1.6319427260902697,3.535864505117965,-1.0867888483295982,0.07864606833412831,-0.4046433577630479,-1.199696662782856,0.3426752952097551,-0.3016132848747364,-0.3578530458141448,-1.5426966687716748,-1.3161266791300972,-1.2169473871035277,-1.7559388532515152,-0.6716595628493097,-1.1719249228720663,FRA,Europe and North America
-0.488970575392649,-0.5989222674863853,0.9097492699383168,,-0.694247346205556,,-0.16391784995760766,-0.3796762621490583,,,,,-0.46902330706173645,,,0.7819147499253695,0.4987903806293551,1.2596461905530163,0.5048403322923029,0.9664036075072415,0.520679522596761,CHN,East and Southeast Asia
-0.7526197714463749,-0.6864837963574189,-0.48741828101375245,-0.9851927718184467,-0.04345453853335564,0.00020519806366105854,-0.14284899503140117,0.4366275452616402,,,-0.738339297438863,0.5496705591131085,1.513334755413344,,,-0.17959395980148105,0.44391167903835654,-0.6038605853619776,0.03794028310390559,-0.6236982538073387,-0.460746584439786,GEO,Central and South Asia
-0.5784462712290142,-0.5890240077009642,-0.1393302110479969,,-0.7717803242281267,,,-0.8379955715882395,,,,-0.11750004414699015,-0.35893796987392873,,,1.310937614313235,0.6046278765548523,0.7989651474364844,1.5287439489335248,1.180384832463728,-0.39318464228871935,IND,Central and South Asia
-0.7418003267391331,-0.534964281180587,-0.7630209587203294,,-0.1246325585118414,1.0220111276667903,-0.25690729224151304,-0.10755581125587162,-1.0867888483295982,1.0624050884969554,,-0.03460617476197878,-0.46902330706173645,,,-0.44989761313834664,0.6203075055808519,0.5946028801893011,-1.3218037197956372,-1.5202057997457215,-1.6519703013138556,JPN,East and Southeast Asia
-0.49248886305343165,-0.453493989100582,-0.5084585035704026,0.3416586523503275,-0.3519116862347019,-0.34388145172457046,3.2560551404046687,0.18422312831168167,0.5945405557663632,0.2972591839258676,-0.615265867680593,,2.5062329892441784,-0.3014465873386061,-0.4658305107317609,-0.4151442862807497,0.616387598324352,-0.6523533267426652,-0.7033659353443391,-1.309913906254002,-0.5069731764378842,GRC,Europe and North America
-0.2591314338987186,-0.4656764626826388,1.3006876374823955,,-0.5243146596040076,-0.26486478287091825,-0.2963627640012476,0.7310897746952861,,,,,-0.46902330706173645,,,0.3571518661102949,0.18127789285286344,0.5807478112233903,-0.1381711389583846,0.8003836915927263,0.520679522596761,CHN,East and Southeast Asia
0.17396544860824803,-0.3773535292127268,0.1886552944303117,-0.7485896753476732,-1.1177630789122919,-0.3437728646305815,0.12368022958462546,-0.6085245199502854,-0.9637647455908694,0.8711186123541833,0.32525584711249866,,0.6580408593848651,,,-0.34177615180360044,-0.44982717544362,-0.9467735422682683,0.7505772002861961,-0.07029853409228752,0.03707825246281029,COL,Latin America
2.209446359109187,1.0776906592441857,-0.07528688428654251,1.483444288190477,-0.7113470562161882,-0.43221244285292376,-0.20292083786496493,3.9481529112656664,-0.6315996681963013,1.8603429604068036,-0.9747800505075906,,0.19428974577103278,-0.2836328925817779,-0.23259564853377918,-1.4036833613412867,-1.0887720582531033,-1.2204111543450054,-0.9081466586725835,0.0883427188926938,-1.2181515148701647,KOR,East and Southeast Asia
0.1794985342201017,-0.5105993340164734,0.6940215221285216,-1.3005073934517748,-1.0656465417307452,-0.4301767678031535,-0.3041465033009802,-0.5439310406532253,,-0.9051129518286989,-0.2829287829074717,-0.24074349934377062,-0.82132945523399,,,0.9634043457372649,0.12247928400536498,0.17548704397050127,1.815436961593067,0.8188303489165613,-0.39318464228871935,IND,Central and South Asia
0.1782811336454364,0.4601915295536802,-0.26622051505978966,-0.4487362461569895,0.1756459664634443,-0.20523816798099598,-0.3087720711370651,-0.6827697938969041,-0.06158799217352425,0.023992789436193422,0.8053198720213354,0.6201739647080645,-1.5540043738410818,-0.23702295407633078,-0.4231205228105324,-0.09464138303846616,-0.12839478041062843,-1.102643068134764,1.7580983590611585,-0.8339901472990581,-0.425187667518172,ZAF,Sub-saharan Africa
-0.35094683837285995,-0.34689734525758475,0.17865445953085146,,-0.10604633969421144,1.0146185623788975,-0.28629308493022887,1.4801730622401128,-0.9637647455908694,1.8822042719659782,,,-0.46902330706173645,,,0.1524933857266681,-0.37142903031362207,0.9271245353711587,-0.17912728362403346,0.7081504049735511,0.520679522596761,CHN,East and Southeast Asia
0.10388443186033634,-0.5204975938018945,3.3860031568971882,1.1086275017021228,-1.1807541773353256,-0.4596259195013278,-0.008760971658684077,0.8033503274972673,,0.8984452518031507,-0.7996818901890423,0.8958227349219321,2.6556570958215304,-0.2538589075314765,2.2711397995415723,-1.2685315346728538,-1.0025340986101055,-1.0437590250296434,-1.403716009126935,-0.02971588797985044,-0.681211869353793,HKG,East and Southeast Asia
-0.43771003046214035,-0.5890240077009642,0.22259006244038046,,-0.10293850026936888,,-0.302273860261645,0.26192282082137086,,,,,-0.46902330706173645,,,0.6969621731623545,0.9652593441528429,0.9929361129592347,0.04203589757047048,0.6417424386077449,0.520679522596761,CHN,East and Southeast Asia
0.3015091251476658,0.22415610390132912,-0.5377774810809447,-0.4178138612717004,-0.00965445087431013,-0.3547632594475491,-0.3156895822295288,0.05028659363086354,1.7427655146611662,-0.6864998362369595,0.14006333608822447,1.1187569256417214,0.05675764267255327,0.10964072928437797,-0.09324878988282116,-1.0407041697174957,-0.9358956752496073,-1.1649908784813623,-0.42076853715136187,-0.24000778147156987,-0.5567556601281438,MYS,East and Southeast Asia
-0.6506546278477882,-0.5364870903783441,-0.24098427944905484,,-0.9535126509757127,,,-0.5803689679781352,,,,0.13926417593072382,-1.0118318184879074,,,2.1218485743238316,2.0471537469468144,1.405124414695079,1.6147518527313875,1.113976866097922,1.3634258536390131,PAK,Central and South Asia
-0.6839589201021755,-0.5532379915536723,-0.6728578290766064,-1.0170521986699568,1.3528522132068446,-0.09201117625648135,-0.2475025842456941,-0.5495531716961849,,,0.6341041542819121,,1.0878978903086856,,,0.6390399617330261,0.42431214275585705,0.06118272500173771,0.42292804296100506,0.4203825507217245,1.6194500554746343,RUS,Europe and North America
-0.6445704655758027,-0.5448625409660082,-0.5773025124600785,,-0.09436639959313664,,-0.0015459677782382868,-0.8763355194110133,,,-1.5819940698827795,0.5097455624544049,0.9126380129796533,,,-0.5580190744730928,-0.026477191741631108,-1.047222792271121,-0.7402264655434231,0.4794118541579966,0.4068909884475961,KAZ,Central and South Asia
-0.812225597316214,-0.23420946462355907,-0.47166268910236236,,-0.29758011558459385,,-0.32165769338755573,-0.9131208141305601,,,,-0.13066834045840364,-1.470901428127413,,,0.44982740439722024,-0.33614986500512295,0.7019796646751092,1.1109912733439062,0.7339757252269201,-0.39318464228871935,IND,Central and South Asia
-0.4575098334084964,-0.5494309685592795,1.227937256899366,,-0.38759208818989604,,,0.7790385642997755,,,,,-0.46902330706173645,,,0.4227970390635337,-0.3008706996966239,1.252718656070061,0.6358999952223793,0.5900917981010068,0.520679522596761,CHN,East and Southeast Asia
,-0.5113607386153519,-0.1458503767345737,,0.22130599702714435,,-0.30654666497714833,0.6880474722754426,,,,,-0.46902330706173645,,,1.3611368642186528,1.6943620938618238,1.6233417509081731,-0.01530270496143795,1.3685407371668454,0.520679522596761,CHN,East and Southeast Asia
1.6625455182152054,3.312413156952735,-0.13675865013926555,2.2091832910285527,1.8819326334804312,-0.25938057006112886,0.15709006456218116,0.17840762388833933,0.7257662653543409,-0.00879917790256751,-0.15073161308825697,,1.36185890534917,-0.29147682485667464,-0.33128016907224744,-1.5581425918194955,-1.3474859371820964,-1.223874921586483,-0.8835729718731942,-0.8782621248762621,-1.0901394139523541,USA,Europe and North America
-0.3617677710141375,-0.3743079108172126,-0.03446521335092292,0.2666952950526566,-0.6416144151367452,-0.2379975503966314,-0.31062164448639334,-0.6688477191688006,-0.18461209491225303,-0.9597662307266337,1.409233815204268,0.7216573814153524,-0.20691536137648028,-0.20238484305716659,-0.4743706030815603,-0.06374953694282437,0.16559826382686385,-0.7043098353648304,0.7546728147527609,-0.22156112414773482,0.39266742167895047,JOR,West Asia and North Africa
-0.90245040030619,-0.11999877479177629,-0.2857143873093088,-0.569614659799484,-0.9310549290543659,-0.5247978261022113,0.5313828200134857,-0.8419629047702418,-1.0867888483295982,1.6635911563742385,0.03329616516228015,-0.7234631726842764,1.8712891340214968,3.3132428253622015,-0.41600444428256633,-0.4692050169481228,-0.6850216108336138,-0.8428605250239378,-0.3101869465541099,0.06251739863932475,0.08330484446090851,PER,Latin America
1.2711010495032975,0.23329295908787176,0.052666680456842155,-0.18027372283470586,-0.8209058076033967,-0.4008608499382499,0.017821010453771716,-0.4893023379314862,-1.0047727798371122,0.5158722995176068,1.465917476859497,1.5254753289474838,0.7723803217104559,-0.25904862133415474,-0.2586504685808813,-0.7935694009523615,-0.7320604979116125,-1.178845947447273,-0.4043860792851023,-0.310105079302143,1.1038457601112308,TUR,West Asia and North Africa
-0.8181881547974635,-0.6895294147529331,-0.7912198064013012,,1.1718132193865864,,-0.27364249439629573,-1.1161538002150289,,,,,-0.04718827315694093,,,1.9210515747021601,2.3097875331323077,1.2908200957263154,0.8488719474837534,0.674946421790648,1.6194500554746343,RUS,Europe and North America
-0.5354314509241745,-0.5578064191469436,-0.361128307940849,-0.14138648123653919,-0.8530794801368552,-0.024947022032243478,-0.2004310896674165,-0.4316663586439389,,,,0.5649737827871644,-0.1888826883663735,,,0.021203039820190527,0.6359871346068515,0.005762449138094768,0.22633854856589045,-1.9481682496586943,0.41755866352408033,ECU,Latin America
