ATO UC Code,Urban Center,Indicator code,Indicator name,Indicator source,Units,Header,Year,Value
AFG-2,Kabul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3650000
AUS-3,Melbourne,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3955000
AUS-5,Sydney,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4070000
BGD-4,Chattogram,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3250000
BGD-7,Dhaka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16235000
CHN-6,Beijing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20390000
CHN-13,Chengdu,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10680000
CHN-14,Chongqing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7440000
CHN-23,Guangzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,18760000
CHN-63,Shanghai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22685000
CHN-64,Shenzhen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,12240000
CHN-78,Xiamen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4715000
HKG-1,Hong Kong,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7280000
IND-13,Bengaluru,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10165000
IND-21,Chennai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,9985000
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,25735000
IND-52,Kolkata,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,14810000
IND-67,Mumbai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22885000
IDN-11,Jakarta,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,31320000
IRN-12,Tehran,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,13670000
JPN-1,Fukuoka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2645000
JPN-11,Osaka [Kyoto],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16985000
JPN-12,Sapporo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2395000
JPN-16,Tokyo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,37750000
MYS-5,Kuala Lumpur,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7365000
NZL-1,Auckland,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1370000
PAK-7,Lahore,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10355000
PHL-7,Metro Manila,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22930000
KOR-1,Busan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3885000
KOR-8,Seoul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,23575000
RUS-9,Moscow,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16570000
RUS-14,Saint Petersburg,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5140000
SGP-1,Singapore,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5725000
TWN-2,Kaohsiung,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2540000
THA-1,Bangkok,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,15315000
VNM-4,Hanoi,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7445000
VNM-5,Ho Chi Minh City,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10075000
ARG-1,Buenos Aires,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,14280000
BRA-3,São Paulo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20605000
CAN-1,Toronto,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6550000
COL-1,Bogota,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,9520000
EGY-2,Cairo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,15910000
FRA-1,Paris,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10870000
DEU-1,Berlin,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4085000
IRQ-1,Baghdad,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6790000
ITA-1,Milan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5270000
MEX-2,Mexico City,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20230000
NLD-1,Amsterdam,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1635000
NGA-1,Lagos,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,12830000
PRT-1,Lisbon,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2685000
SAU-1,Riyadh,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5845000
ZAF-1,Johannesburg,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,8655000
ESP-2,Madrid,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6240000
TUR-1,Istanbul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,13520000
ARE-1,Dubai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3630000
GBR-1,London,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10350000
USA-5,Los Angeles,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,15135000
USA-7,New York,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20685000
AFG-2,Kabul,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,4273156
AUS-3,Melbourne,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,4529500
AUS-5,Sydney,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,4840600
BGD-4,Chattogram,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,7000000
BGD-7,Dhaka,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,18627000
CHN-6,Beijing,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,18522000
CHN-13,Chengdu,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,14645000
CHN-14,Chongqing,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,12135000
CHN-23,Guangzhou,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,26940000
CHN-63,Shanghai,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,24073000
CHN-64,Shenzhen,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,17619000
CHN-78,Xiamen,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,3707090
HKG-1,Hong Kong,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,7450000
IND-13,Bengaluru,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,15386000
IND-20,Chandigarh,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1055450
IND-21,Chennai,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,12395000
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,32226000
IND-52,Kolkata,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,18502000
IND-67,Mumbai,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,24973000
IDN-11,Jakarta,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,33756000
IRN-12,Tehran,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,14148000
JPN-1,Fukuoka,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,2286000
JPN-11,Osaka [Kyoto],SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1464890
JPN-12,Sapporo,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1961690
JPN-16,Tokyo,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,37732000
KAZ-1,Almaty,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1916822
MYS-5,Kuala Lumpur,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,8911000
MMR-2,Yangon,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,5209541
NZL-1,Auckland,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1346091
PAK-7,Lahore,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,12306000
PHL-7,Metro Manila,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,24922000
KOR-1,Busan,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,3453198
KOR-8,Seoul,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,23016000
RUS-9,Moscow,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,17332000
RUS-14,Saint Petersburg,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,5384342
SGP-1,Singapore,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,5983000
LKA-1,Colombo,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,212967
TWN-2,Kaohsiung,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,2733566
TWN-3,New Taipei [Taipei],SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,9078000
THA-1,Bangkok,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,18007000
VNM-4,Hanoi,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,8246600
VNM-5,Ho Chi Minh City,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,15136000
ARG-1,Buenos Aires,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,16710000
BRA-3,São Paulo,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,23086000
CAN-1,Toronto,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,5429524
COL-1,Bogota,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,7968095
EGY-2,Cairo,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,20296000
FRA-1,Paris,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,11060000
DEU-1,Berlin,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,4473101
IRQ-1,Baghdad,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,6183000
ITA-1,Milan,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1366180
MEX-2,Mexico City,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,21804000
NLD-1,Amsterdam,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,1459402
NGA-1,Lagos,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,16637000
PRT-1,Lisbon,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,2719000
SAU-1,Riyadh,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,7237000
ZAF-1,Johannesburg,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,8000000
ESP-2,Madrid,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,112254
TUR-1,Istanbul,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,16079000
ARE-1,Dubai,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,3331420
GBR-1,London,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,383822
USA-5,Los Angeles,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,12121244
USA-7,New York,SEC-UDB-001,Population,(5) World Cities Database,Number,Series,2023,18972871
AFG-2,Kabul,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,5566000
AUS-3,Melbourne,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,4709000
AUS-5,Sydney,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,4836000
BGD-7,Dhaka,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,19134000
CHN-6,Beijing,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,18883000
CHN-13,Chengdu,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,15016000
CHN-14,Chongqing,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,12653000
CHN-23,Guangzhou,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,27119000
CHN-63,Shanghai,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,24042000
CHN-64,Shenzhen,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,17778000
CHN-78,Xiamen,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,5253000
HKG-1,Hong Kong,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6468000
IND-13,Bengaluru,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,15257000
IND-20,Chandigarh,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2168000
IND-21,Chennai,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,11570000
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,31190000
IND-52,Kolkata,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,21747000
IND-67,Mumbai,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,25189000
IDN-11,Jakarta,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,35386000
IRN-12,Tehran,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,13382000
JPN-1,Fukuoka,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2368000
JPN-11,Osaka [Kyoto],SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,14916000
JPN-12,Sapporo,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2168000
JPN-16,Tokyo,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,37785000
KAZ-1,Almaty,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2447000
MYS-5,Kuala Lumpur,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,9387000
MMR-2,Yangon,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6426000
NZL-1,Auckland,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,1537000
PAK-7,Lahore,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,13504000
PHL-7,Metro Manila,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,24156000
KOR-1,Busan,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,3843000
KOR-8,Seoul,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,23225000
RUS-9,Moscow,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,17878000
RUS-14,Saint Petersburg,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,5750000
SGP-1,Singapore,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,5926000
LKA-1,Colombo,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,3532000
TWN-2,Kaohsiung,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2346000
TWN-3,New Taipei [Taipei],SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,9662000
THA-1,Bangkok,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,18884000
VNM-4,Hanoi,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6359000
VNM-5,Ho Chi Minh City,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,14953000
ARG-1,Buenos Aires,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,15748000
BRA-3,São Paulo,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,21486000
CAN-1,Toronto,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6837000
COL-1,Bogota,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,10252000
EGY-2,Cairo,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,22679000
FRA-1,Paris,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,11108000
DEU-1,Berlin,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,4286000
IRQ-1,Baghdad,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6624000
ITA-1,Milan,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,5471000
MEX-2,Mexico City,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,21905000
NLD-1,Amsterdam,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,1736000
NGA-1,Lagos,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,14540000
PRT-1,Lisbon,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,2832000
SAU-1,Riyadh,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,8309000
ZAF-1,Johannesburg,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,15551000
ESP-2,Madrid,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,6798000
TUR-1,Istanbul,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,14441000
ARE-1,Dubai,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,4945000
GBR-1,London,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,10803000
USA-5,Los Angeles,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,15587000
USA-7,New York,SEC-UDB-001,Population,(6) Demographia,Number,Series,2023,21396000
AUS-3,Melbourne,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,152992
AUS-3,Melbourne,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,169961
AUS-3,Melbourne,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,178955
AUS-3,Melbourne,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,183756
AUS-3,Melbourne,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2022,159813
AUS-5,Sydney,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,224211
AUS-5,Sydney,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,246343
AUS-5,Sydney,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,248736
AUS-5,Sydney,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,242237
AUS-5,Sydney,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2021,217748
IND-13,Bengaluru,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,11361635
IND-21,Chennai,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,7523337
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,21000000
IND-52,Kolkata,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,17179626
IND-67,Mumbai,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,12828821
JPN-16,Tokyo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,13636222
JPN-16,Tokyo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,13742906
JPN-16,Tokyo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,13843403
JPN-16,Tokyo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,13843403
JPN-16,Tokyo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,14047694
MYS-5,Kuala Lumpur,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,1770000
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,1568120
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,1594500
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,1618400
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,1680500
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,1716900
NZL-1,Auckland,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2021,1715600
KOR-8,Seoul,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,10124579
KOR-8,Seoul,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,10124579
THA-1,Bangkok,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,5686646
THA-1,Bangkok,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,5676648
THA-1,Bangkok,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,5588222
VNM-5,Ho Chi Minh City,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,8441902
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,3059122
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,3063728
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,3068043
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,3072029
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,3075646
ARG-1,Buenos Aires,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2021,3078836
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,11638802
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,11696088
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,11811516
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,11513836
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,11869660
BRA-3,São Paulo,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2021,11480900
CAN-1,Toronto,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,2819399
CAN-1,Toronto,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,2864111
CAN-1,Toronto,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,2919971
CAN-1,Toronto,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,2963229
CAN-1,Toronto,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,2984055
COL-1,Bogota,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2016,7290415
COL-1,Bogota,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2017,7333415
COL-1,Bogota,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2018,7412566
COL-1,Bogota,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2019,7412566
COL-1,Bogota,SEC-UDB-001,Population,"(7) C40; GHG Interactive Dashboard Data. 2024. London, UK: C40 Cities Climate Leadership Group.",Number,Series,2020,7412566
