Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Hiroshima,1198021.0,331.0,7798.98204483839,,212.2040072859745,6.76857177695202,842.1923891707373,16.6025024061597,0.12,0.51,,24.6287865,0.12206656225562,,,,288.0,503.0,529.0,171.0,179.0,26.0
Nagoya,9197000.0,2651.0,6377.09507786461,,392.4144506833351,1.643360976766795,794.8447911624971,39.4298640638418,0.25,0.326,,25.52318428,0.145024134344968,,,,157.0,252.0,211.0,129.0,438.0,26.0
Sendai,1061177.0,331.0,7839.19449074107,,230.46875,9.478127932816724,1174.8505684101,6.35411300017173,0.535,0.158,,24.63397074,0.205740158150057,,,,296.0,558.0,506.0,221.0,131.0,26.0
Bishkek,1074075.0,156.0,26087.6009744687,,186.0795454545455,3.018982135972046,1708.851276881539,,,,,25.00318287,0.0,0.5954346800853945,,,438.0,444.0,203.0,517.0,710.0,843.0
Vientiane,948487.0,122.0,,,,5.870749806567596,,,,,,25.40075853,,0.1945002402842874,,,589.0,701.0,729.0,414.0,462.0,845.0
Ulaanbaatar,1396288.0,166.0,12803.7941115998,58.57,200.1254705144291,4.200177949328815,427.6349602987106,,,,,19.54023745,0.0,0.1513931808594323,,,451.0,442.0,415.0,650.0,622.0,363.0
Mandalay,1319452.0,244.0,20398.0591684637,,80.2919708029197,26.38417924172402,17.73581720762319,,,,,24.8773455,0.0,0.1274407942251233,,,828.0,563.0,823.0,740.0,575.0,994.0
Kathmandu,975453.0,271.0,31648.0947501747,32.39,61.28734216199569,0.3446847195184135,752.4583633465307,,,,,,0.0,0.4509355794870302,,,749.0,679.0,776.0,746.0,753.0,603.0
Karachi,15738000.0,753.0,66136.466773006,28.57,55.50891402044545,0.730953095085841,,,,0.52,193.85,22.45317195,0.0,0.4538852305561125,1.12743366007955,1.28247661027304,918.0,863.0,612.0,851.0,917.0,874.0
Cebu City,964169.0,351.0,37901.9772145918,39.75,,1.826163749593495,170.1921633232597,,,,,20.08058515,0.0,0.4018342979317114,,,436.0,379.0,502.0,683.0,24.0,614.0
