Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Liuzhou,4157934.0,232.0,21290.8328053657,,171.0097719869707,,1089.394272961708,,,,,,0.0,,,,869.0,853.0,964.0,543.0,898.0,637.0
Luoyang,2372571.0,373.0,23630.6672579649,,267.5312199807877,,262.2890626207534,17.7285318559556,,,,,0.122130139619475,,,,739.0,572.0,936.0,472.0,918.0,637.0
Mianyang,4868243.0,126.0,21671.3570187113,,257.3529411764706,,,,,,,,0.0,,,,781.0,686.0,999.0,382.0,714.0,637.0
Mudanjiang,2798723.0,117.0,32940.6497865355,,165.4846335697399,,1212.115625368415,,,,,,0.0,0.3783374254013218,,,,,,,,
Nanchang,3576547.0,414.0,58468.0753264368,,183.2547169811321,,349.8311249262855,34.6858780276816,,,,,0.277741622316355,,,,467.0,246.0,615.0,524.0,821.0,637.0
Nanning,3837978.0,224.0,81981.0616157739,,151.4312096029548,,,39.5732445520581,,,,,0.311212699037602,,,,471.0,249.0,767.0,467.0,671.0,637.0
Nantong,2261382.0,310.0,48217.4636940108,,354.8387096774193,,,,,,,,0.276922609624363,,,,542.0,256.0,901.0,429.0,825.0,637.0
Nanyang,10013600.0,183.0,15199.0906369734,,235.7807652533609,,,,,,,,0.0,,,,784.0,772.0,945.0,389.0,940.0,637.0
Pingdingshan,4904701.0,134.0,19414.386703131,,190.72708113804,,2659.000834735855,,,,,,0.0,,,,919.0,914.0,987.0,457.0,965.0,637.0
Putian,3210714.0,299.0,32919.1672724066,,476.1336515513127,,,,,,,,0.0,,,,626.0,423.0,856.0,672.0,543.0,637.0
Qinhuangdao,3146300.0,119.0,24847.4392947724,,397.6660682226212,,,,,,,,0.0,,,,835.0,889.0,939.0,481.0,824.0,637.0
Qiqihar,5367003.0,99.0,42102.3495784172,,,,,,,,,,0.0,,,,880.0,947.0,991.0,420.0,684.0,637.0
Quanzhou,8782285.0,10.0,19277.9832074081,,333.3827673142518,,,,,,,,0.0,,,,512.0,221.0,845.0,613.0,632.0,637.0
Sha Tin,640000.0,115.0,,,,,3161.25710522522,,,,,,,,,,,,,,,
Taizhou,5031000.0,132.0,27995.076623029,,300.4731861198738,,,,,,,,0.0134603446464592,,,,,,,,,
Tangshan,3399231.0,365.0,36096.0874206059,,345.1631368059531,,1233.244820374205,,,,,,0.0,,,,714.0,513.0,913.0,488.0,967.0,637.0
Weifang,2636154.0,248.0,18611.0718856823,,376.0603204524034,,395.948083538997,,,,,,0.0,,,,775.0,762.0,941.0,371.0,950.0,637.0
Wenzhou,3604446.0,678.0,32842.6953943842,,132.7037773359841,,393.6432167089906,22.8360858572273,,,,,0.0224643284974811,,,,568.0,579.0,650.0,478.0,693.0,637.0
Wuhu,3842100.0,184.0,68802.3783684733,,375.0,,1579.101432929425,,,,,,0.0,,,,619.0,406.0,765.0,609.0,920.0,637.0
Xi'an,12328000.0,624.0,56850.5689754331,,149.5373024322332,,498.9214070324279,31.0726240721874,,,,,0.368368548509516,,,,343.0,176.0,186.0,489.0,784.0,637.0
Xiangtan,2864800.0,174.0,,,211.4661654135338,,1933.360706731548,,,,,,,,,,750.0,681.0,926.0,411.0,932.0,637.0
Xingtai,7111106.0,125.0,26267.1758155636,,141.304347826087,,427.7983256950657,,,,,,0.0,,,,913.0,882.0,972.0,520.0,977.0,637.0
Xining,2467965.0,134.0,43435.8833069242,,245.5284552845528,,284.30921544994,,,,,,0.0,,,,694.0,530.0,903.0,622.0,758.0,637.0
Yangzhou,4559797.0,158.0,16808.9090948455,,295.1096121416526,,1629.556160083014,,,,,,0.0,,,,740.0,647.0,933.0,471.0,859.0,637.0
Yantai,2511053.0,374.0,,,430.2583025830259,,,,,,,,,,,,711.0,643.0,966.0,375.0,770.0,637.0
Yinchuan,1901793.0,266.0,33172.9070621947,,232.6283987915408,,799.7600650570032,10.4783037475345,,,,,0.0,,,,548.0,389.0,628.0,578.0,817.0,637.0
Yiwu,1234015.0,242.0,56784.4307068539,,193.6193619361936,,,,,,,,0.0208711205090732,,,,641.0,421.0,930.0,417.0,775.0,637.0
Yueqing,488980.0,295.0,17052.2035291082,,,,,,,,,,0.00430241798758204,,,,588.0,377.0,847.0,508.0,764.0,637.0
Zhanjiang,7332000.0,157.0,46111.0526992125,,337.7049180327869,,,,,,,,0.0,,,,790.0,824.0,946.0,552.0,584.0,637.0
Zhenjiang,3210418.0,83.0,50517.1228672308,,365.5723158828749,,,,,,,,0.0,,0.0371139613835441,0.573690672313379,621.0,508.0,704.0,487.0,963.0,637.0
Zhongshan,2909633.0,13.0,16709.0168560791,,190.1288597131048,,445.060453243654,4.27118644067796,,,,,0.000154161427306247,,,,575.0,596.0,596.0,554.0,675.0,637.0
Zhuhai,2439585.0,284.0,64254.4147986225,,150.021616947687,,11989.35308303125,0.0,,,,,0.00769592494819695,,,,370.0,300.0,180.0,532.0,610.0,637.0
Zhuzhou,4020800.0,135.0,44425.107357667,,187.1880199667221,,1137.808057204988,14.635356375062,,,,,0.0,,,,803.0,792.0,968.0,416.0,860.0,637.0
Zibo,2631647.0,,11748.7180252137,,373.0873087308731,,475.2339283123295,,,,,,0.0,,,,860.0,787.0,970.0,500.0,964.0,637.0
Zunyi,6606675.0,93.0,,,,,2263.527208528341,,,,,,,0.2537044210311116,,,640.0,318.0,909.0,632.0,843.0,637.0
Suva,185913.0,64.0,,,,,,,,,,,,0.2831204710894253,,,348.0,427.0,249.0,660.0,1.0,367.0
Agartala,522613.0,179.0,18087.0685604888,,138.3928571428571,,,,,,,21.71650675,0.0,,,,,,,,,
Agra,1585704.0,211.0,29145.1450257529,,82.20679576178297,,162.4340479140299,,,,,22.98831421,0.0,,,,977.0,942.0,844.0,938.0,968.0,380.0
Aligarh,1131160.0,116.0,33908.8124648919,,59.03614457831326,,,,,,,20.82081634,0.0,,,,924.0,832.0,614.0,951.0,975.0,380.0
Amritsar,1132383.0,150.0,38998.4027521152,,116.5270373191165,,,22.0829177945576,,,,27.06739749,0.0,,,,717.0,396.0,822.0,813.0,797.0,380.0
Asansol,563917.0,333.0,61686.5445664152,,38.95348837209303,,,,,,,23.54401083,0.0,,,,905.0,592.0,870.0,872.0,993.0,380.0
Aurangabad,1371330.0,13.0,27056.3226949436,,62.41610738255034,,,,,,,,0.0,,,,842.0,807.0,759.0,873.0,739.0,380.0
Bareilly,1000000.0,110.0,29642.9998254539,,61.25461254612546,,,,,,,23.60013263,0.0,0.2229902999220708,,,929.0,895.0,705.0,935.0,935.0,380.0
Begusarai,252008.0,134.0,30548.8694206947,,,,,,,,,24.6247906,0.0,,,,,,,,,
Belagavi,488157.0,84.0,23324.1773408683,,92.99363057324841,,,,,,,24.126866,0.0,0.3967842119751168,,,777.0,660.0,792.0,852.0,552.0,380.0
Berhampore,634220.0,138.0,56249.7065873496,,,,,,,,,18.89478306,0.0,0.2787076725134632,,,833.0,642.0,825.0,850.0,850.0,380.0
Bhopal,1798218.0,219.0,24987.405126021,,70.64793130366901,,,,,,,24.21573602,0.0,0.3036301261716384,,,792.0,416.0,702.0,958.0,819.0,380.0
Bhubaneshwar,837737.0,144.0,17905.712413496,,125.8992805755396,,,,,,,24.52008931,0.0,,,,704.0,434.0,631.0,894.0,741.0,380.0
Bikaner,529007.0,87.0,15128.7935135074,,93.58974358974359,,,,,,,24.15444242,0.0,,,,844.0,738.0,793.0,841.0,896.0,380.0
Bilaspur,1625502.0,13.0,21477.3111025884,,79.83193277310924,,,,,,,,0.0,,,,879.0,841.0,672.0,914.0,856.0,380.0
Bokaro,48086.0,98.0,30139.9380809612,,106.0240963855422,,,,,,,26.30195661,0.0,,,,993.0,953.0,879.0,899.0,1000.0,380.0
Coimbatore,959823.0,366.0,19988.4964889858,,227.3618188945512,,,,,,230.79,22.89523828,0.0,0.1884669880405608,,,669.0,564.0,420.0,837.0,857.0,380.0
Dehradun,578420.0,116.0,14506.9625321948,,127.6408450704225,,,,,,,22.86900184,0.0,,,,745.0,627.0,550.0,887.0,745.0,380.0
Dhanbad,1162472.0,284.0,36772.2227801956,,67.19893546240851,,,,,,,20.7039951,0.0,,,,978.0,977.0,716.0,907.0,995.0,380.0
Erode,151184.0,191.0,12162.999113575,,106.090373280943,,,,,,,23.71313076,0.0,,,,870.0,577.0,934.0,831.0,874.0,380.0
Faizabad,165228.0,115.0,33879.5096210399,,,,,,,,,,0.0,,,,981.0,828.0,953.0,911.0,981.0,380.0
Farrukhabad,275754.0,45.0,33124.0169239832,,,,,,,,,20.82909478,0.0,,,,,,,,,
Fatehpur,193193.0,5.0,,,,,,,,,,,,,,,,,,,,
Gorakhpur,673446.0,171.0,23803.3283436361,,84.39716312056737,,,,,,,20.16833866,0.0,,,,948.0,751.0,886.0,918.0,979.0,380.0
Guntur,647508.0,95.0,25245.5959752564,,72.15189873417721,,,,,,,24.31816814,0.0,,,,862.0,645.0,927.0,854.0,694.0,380.0
Guruvayur,38138.0,523.0,,,,,,,,,,,,,,,,,,,,
Guwahati,1116267.0,187.0,18068.5095761222,,151.2915129151291,,,,,,,20.53742159,0.0,,,,770.0,492.0,548.0,934.0,895.0,380.0
Gwalior,1069276.0,107.0,28150.5226640655,,68.38185511171294,,,,,,,23.19329548,0.0,,,,864.0,589.0,746.0,952.0,894.0,380.0
Indore,1994397.0,280.0,37409.5524256441,,74.9003984063745,,,3.66535914089126,,,,23.36100542,0.0,,,,843.0,354.0,830.0,976.0,815.0,380.0
Jabalpur,1267564.0,119.0,25811.4479052107,,77.62557077625571,,,,,,,22.94233718,0.0,,,,936.0,698.0,905.0,954.0,838.0,380.0
Jalandhar,873725.0,132.0,17830.9363046996,,121.8884120171674,,,,,,,26.03693907,0.0,,,,672.0,400.0,662.0,827.0,816.0,380.0
Jammu,502197.0,134.0,15180.4255538697,,134.1795104261106,,,,,,,24.51238726,0.0,,,,897.0,666.0,890.0,925.0,795.0,380.0
Jamshedpur,1558000.0,150.0,32034.6399666628,,79.48051948051948,,567.7896169764808,,,,,24.81530544,0.0,,,,933.0,790.0,876.0,874.0,976.0,380.0
Jaunpur,180362.0,35.0,39222.1048772333,,,,,,,,,,0.0,,,,,,,,,
Jodhpur,1033918.0,173.0,14405.8725041282,,155.6446225784903,,156.7038761657995,,,,,29.83350822,0.0,,,,798.0,595.0,806.0,839.0,833.0,380.0
Kochi,677381.0,726.0,16657.7863393598,,184.7963040739185,,84.15105400772192,3.34212012803615,,,,24.04230815,0.0216542417532516,0.1698806277035284,,,521.0,259.0,560.0,765.0,790.0,380.0
Kota,1001694.0,129.0,19942.8067986399,,110.9215017064846,,,,,,,26.42397611,0.0,,,,915.0,547.0,813.0,941.0,996.0,380.0
Krishnanagar,153062.0,34.0,60834.5984169444,,,,,,,,,,0.0,,,,,,,,,
Kuchai Kot,8510.0,406.0,,,,,,,,,,,,,,,,,,,,
Ludhiana,1618879.0,254.0,23165.251692354,,96.14512471655328,,,,,,,23.93443357,0.0,,,,730.0,446.0,775.0,823.0,849.0,380.0
Madurai,1561129.0,128.0,29220.9284086763,,73.2421875,,,,,,,21.50023498,0.0,,,,691.0,440.0,576.0,829.0,927.0,380.0
Mangaluru,623841.0,241.0,11447.1139961945,,200.2670226969292,,,,,,125.15,29.09176505,0.0,,,,779.0,612.0,865.0,791.0,768.0,380.0
Meerut,1305429.0,238.0,24956.4814835105,,80.0596718050721,,,,,,,22.60110437,0.0,,,,946.0,814.0,875.0,910.0,949.0,380.0
Mirzapur,2496970.0,61.0,32037.0023791663,,,,,,,,,,0.0,,,,,,,,,
Moradabad,887871.0,149.0,39637.2372628649,,48.3271375464684,,,,,,,20.95178713,0.0,,,,854.0,744.0,671.0,903.0,929.0,380.0
Muzaffarnagar,10793.0,98.0,32621.9522950552,,40.22988505747126,,,,,,,24.4582185,0.0,,,,,,,,,
Muzaffarpur,333200.0,204.0,19174.4067755145,,,,,,,,,19.17598288,0.0,,,,,,,,,
Nagpur,2405665.0,260.0,26762.4193317827,,109.6478671628972,,,4.57875457875457,,,,24.12270318,0.0351027078008248,,,,744.0,499.0,588.0,867.0,911.0,380.0
Nashik,1486053.0,179.0,21737.1833933541,,74.58563535911603,,1243.254031942426,,,,,28.50229206,0.0,,,,826.0,695.0,754.0,861.0,845.0,380.0
Prayagraj,5954391.0,141.0,34088.3839778216,,50.04101722723544,,,,,,,23.67987233,0.0,,,,966.0,880.0,871.0,927.0,987.0,380.0
Puducherry,244377.0,94.0,28763.9260070977,,78.125,,1498.523938673758,,,,,24.47798887,0.0,,,,646.0,734.0,440.0,782.0,663.0,380.0
Raipur,1010087.0,191.0,19014.8406899135,,99.370188943317,,405.3834879652958,,,,,25.04404118,0.0,,,,832.0,639.0,669.0,896.0,953.0,380.0
Rajkot,1335397.0,119.0,24050.6820996495,,67.92199058507062,,,5.43365762782032,,,,24.41502511,0.0,,,,935.0,827.0,904.0,940.0,719.0,380.0
Ranchi,1073440.0,146.0,25931.5382600218,,85.47008547008546,,,,,,,20.47501475,0.0,,,,945.0,897.0,841.0,900.0,886.0,380.0
Salem,693236.0,,18842.382818451,,89.15054667788057,,987.1471754592066,,,,,,0.0,,,,767.0,561.0,689.0,828.0,916.0,380.0
Sangli,436639.0,82.0,19965.5151832781,,93.65558912386707,,,,,,,25.72588353,0.0,,,,943.0,850.0,963.0,866.0,627.0,380.0
Solapur,951558.0,82.0,27631.331446584,,60.07393715341959,,,,,,,24.77144578,0.0,,,,848.0,788.0,810.0,870.0,698.0,380.0
Srinagar,1180570.0,155.0,43301.3625884985,,143.5643564356436,,,,,,,21.19881684,0.0,,,,761.0,664.0,637.0,825.0,842.0,380.0
Sultanpur,20553.0,31.0,32333.9666266836,,,,,,,,,,0.0,,,,1000.0,998.0,982.0,960.0,989.0,380.0
Thiruvananthapuram,743691.0,378.0,24033.8721720263,,109.7860399859698,,796.2479185087504,,,,,24.43554764,0.0,,,,686.0,437.0,897.0,748.0,695.0,380.0
Tiruppur,877778.0,185.0,12912.5003532654,,112.1898597626753,,,,,,,24.97592762,0.0,,,,804.0,680.0,781.0,835.0,811.0,380.0
Udaipur,451100.0,106.0,13390.3975699635,,115.1419558359622,,,,,,,25.73292984,0.0,,,,796.0,517.0,866.0,812.0,885.0,380.0
Vadodara,2065771.0,228.0,22170.9510063659,,85.24289642529789,,,,,,,25.8875849,0.0,,,,806.0,506.0,757.0,904.0,872.0,380.0
Varanasi,1198491.0,480.0,32309.2850305717,,53.88665221430784,,,,,,,,0.0,,,,911.0,712.0,715.0,908.0,998.0,380.0
Vasai-Virar,1222390.0,172.0,43633.6395639661,,,,,,,,,,0.0,,,,748.0,428.0,652.0,950.0,618.0,380.0
Vellore,696110.0,101.0,23262.8499869815,,71.53284671532846,,,,,,,27.08397939,0.0,,,,729.0,621.0,571.0,810.0,908.0,380.0
Vijayawada,1048240.0,123.0,27839.5519033655,,73.86363636363636,,,,,,,24.05701004,0.0,0.4574175140156729,,,973.0,921.0,956.0,853.0,901.0,380.0
Visakhapatnam,2035922.0,210.0,33226.9270548066,,156.1097256857855,,84.80966673196592,,,,,25.1353866,0.0,,,,821.0,634.0,782.0,814.0,960.0,380.0
Balikpapan,598043.0,107.0,14586.7746998762,,178.3625730994152,,699.9541661135243,,,,,24.31223716,0.0,,,,,,,,,
Bandar Lampung,1166761.0,171.0,12257.1058184107,,110.4166666666667,,,,,,,25.98449821,0.0,0.1380737816117235,,,519.0,372.0,451.0,815.0,109.0,480.0
Banjarmasin,692793.0,125.0,17807.265149772,,82.07070707070707,,2010.620176258644,,,,,23.38845619,0.0,,,,,,,,,
Cilacap,1174964.0,116.0,13398.1177947479,,,,,,,,,,0.0,,,,,,,,,
Cilegon,387543.0,194.0,12372.1891311044,,225.0922509225092,,,,,,,,0.0,,,,,,,,,
Cirebon,316126.0,337.0,16574.1515942777,,92.4956369982548,,,,,,,24.38896271,0.0,0.1787486082360789,,,731.0,419.0,747.0,876.0,762.0,480.0
Denpasar,1779122.0,417.0,11192.4196349791,,132.7300150829563,,272.8261153421218,,,,,24.19237445,0.0,,,,495.0,305.0,728.0,730.0,153.0,480.0
Garut,127583.0,276.0,23139.7940800312,,,,,,,,,,0.0,0.2218409366168797,,,,,,,,
Jambi,612162.0,112.0,12423.063734867,,190.5263157894737,,562.8662552578397,,,,,25.25889155,0.0,0.0707898082610857,,,610.0,500.0,499.0,842.0,354.0,480.0
Jember,298585.0,429.0,14304.0876136836,,,,,,,,,,0.0,,,,,,,,,
Kuningan,111742.0,157.0,15320.229649649,,,,,,,,,,0.0,,,,,,,,,
Madiun,210115.0,315.0,,,,,,,,,,,,,,,,,,,,
Magelang,124912.0,205.0,14458.2950503175,,,,,,,,,,0.0,,,,,,,,,
Makassar,1338663.0,373.0,18002.5633941944,,92.45867768595042,,,,,,,21.76245251,0.0,0.3153351178596649,,,454.0,301.0,472.0,774.0,103.0,480.0
Mataram,408900.0,220.0,15888.6604414018,,,,3349.65016577436,,,,,27.5858237,0.0,,,,507.0,408.0,483.0,784.0,150.0,480.0
Medan,3632000.0,739.0,15062.8125231551,,118.9471070275639,,3.818132515717847,,,,104.29,22.25962465,0.0,0.2959369607630702,,,470.0,266.0,390.0,821.0,228.0,480.0
Mojokerto,130196.0,194.0,,,,,,,,,,,,,,,,,,,,
Padang,914970.0,178.0,14030.5780218717,,107.8107810781078,,,,,,,24.7559777,0.0,,,,479.0,299.0,366.0,800.0,386.0,480.0
Palembang,1535952.0,291.0,20356.421918747,,106.3315611406477,,,13.3257403189066,,,,24.82590859,0.0,0.1729580321138489,,,517.0,334.0,460.0,793.0,522.0,480.0
Pati,122785.0,463.0,,,,,,,,,,,,0.234373544480512,,,,,,,,
Pekalongan,298386.0,339.0,13356.9209328972,,,,,,,,,26.30633685,0.0,0.4126775876857607,,,706.0,663.0,732.0,811.0,393.0,480.0
Pekanbaru,983356.0,211.0,10049.6649582334,,219.3548387096774,,186.8144165612673,,,,,27.38691196,0.0,,,,562.0,436.0,591.0,767.0,281.0,480.0
Pontianak,618388.0,170.0,14420.5563724255,,,,,,,,,25.57023512,0.0,,,,618.0,473.0,718.0,789.0,371.0,480.0
Purwokerto,230235.0,379.0,13432.0864591328,,,,,,,,,,0.0,,,,,,,,,
Samarinda,753370.0,141.0,20901.6617946462,,97.77347531461761,,,,,,,24.39401931,0.0,0.3204175210134799,,,613.0,696.0,564.0,809.0,21.0,480.0
Semarang,1621384.0,746.0,15242.3690803582,,111.6860715825787,,3248.537030809935,,,,,24.03860423,0.0,0.3937301630526296,,,537.0,360.0,444.0,796.0,586.0,480.0
Sumenep,84656.0,91.0,,,,,,,,,,,,,,,,,,,,
Tasikmalaya,678027.0,533.0,21842.7426693918,,63.00813008130081,,,,,,,26.23696216,0.0,,,,795.0,676.0,744.0,886.0,639.0,480.0
Tegal,275789.0,629.0,13021.6000349011,,,,,,,,,,0.0,,,,,,,,,
Yogyakarta,422732.0,1555.0,9819.87753472309,,146.5736040609137,,,,,,,25.83583429,0.0,,,,489.0,342.0,296.0,790.0,634.0,480.0
Ahwaz,1261042.0,188.0,60326.9398238688,,166.0,,,,,,,34.11498756,0.0,0.5232500841029465,,,650.0,758.0,288.0,707.0,626.0,928.0
Ardabil,529374.0,67.0,,,106.1643835616438,,723.2299420280605,,,,,27.79245601,,0.7944792813471397,,,,,,,,
Kerman,15817.0,100.0,,,286.5168539325843,,4760.871665175279,,,,,33.83174479,,0.6192458803827477,,,807.0,918.0,315.0,705.0,956.0,928.0
Kermanshah,952285.0,121.0,14407.2619388221,,134.2364532019704,,1999.801392832228,,,,,32.12166432,0.0,,,,820.0,851.0,471.0,756.0,820.0,928.0
Qom,1201158.0,104.0,13882.2399625882,,139.7970687711387,,,,,,,32.61406643,0.0,0.4749676215514428,,,688.0,742.0,237.0,725.0,897.0,928.0
Rasht,679995.0,85.0,13114.6580172534,,116.1048689138577,,3061.623101655847,,,,,25.50793674,0.0,,,,762.0,769.0,409.0,738.0,814.0,928.0
Yazd,529673.0,110.0,,,389.0977443609023,,5477.489954555964,,,,,35.32006239,,,,,,,,,,
Zahedan,587730.0,70.0,13653.7927262677,,170.9558823529412,,566.8931910888474,,,,,,0.0,,,,908.0,893.0,630.0,752.0,970.0,928.0
Hamamatsu,788211.0,330.0,,,,,184.4812302266842,,,,,23.89585457,,,,,315.0,753.0,673.0,52.0,198.0,26.0
Kanazawa,462479.0,175.0,5390.77859085838,,325.5395683453237,,13151.39935219999,,,,,25.42863167,0.0,0.7702952963137015,,,333.0,581.0,799.0,156.0,204.0,26.0
Kitakyushu,935084.0,531.0,6346.163468476,,368.0943513345748,,1298.818432565204,,,,,28.23189364,0.0,0.7007120813860958,,,398.0,775.0,864.0,222.0,423.0,26.0
Kumamoto,738385.0,223.0,5980.53117829486,,267.8843226788432,,1795.153720558552,0.0,,,,23.24053462,0.0,,,,295.0,340.0,656.0,243.0,358.0,26.0
Moriyama [Otsu],342607.0,218.0,6994.09961512532,,,,1770.04336582542,,,,,,0.0,,,,,,,,,
Naha,316048.0,267.0,7800.92035801647,,290.7608695652174,,1262.060258228284,,,,,23.32719986,0.0,,,,300.0,337.0,553.0,319.0,379.0,26.0
Okayama,720043.0,398.0,4804.03620217685,,,,5366.320935267812,0.0,,,,28.58130476,0.0,0.6402493205398886,,,330.0,632.0,647.0,138.0,534.0,26.0
Shizuoka,685589.0,185.0,,,278.8104089219331,,331.6223077580202,9.85086879190039,,,,26.23459994,,,,,,,,,,
Takasaki [Maebashi],372639.0,,3114.08693329713,,,,871.4372513840029,,,,,,0.0,,,,,,,,,
Nur-Sultan,1078362.0,147.0,,,,,,,,,,26.50818023,,,,,,,,,,
Shymkent,1028673.0,148.0,7827.3895621983,,289.2622352081812,,612.3604253746831,,,,,27.36583516,0.0,0.1449364565020961,,,482.0,566.0,264.0,523.0,806.0,605.0
Bukit Mertajam,210000.0,183.0,,,,,,,,,,,,0.5339929675979759,,,,,,,,
George Town,27704.0,135.0,18037.4768468311,,,,,,,,,,0.0,0.6969317767106529,,,,,,,,
Ipoh,866772.0,212.0,7773.57909738358,,385.1351351351352,,,,,,,29.21032203,0.0,0.5110407583483023,,,465.0,447.0,690.0,398.0,787.0,334.0
Kota Kinabalu,452058.0,161.0,12767.9563639148,,,,476.6245245497272,,,,,31.08192764,0.0,,,,391.0,693.0,407.0,386.0,140.0,334.0
Malé,133019.0,8.0,,,,,,,,,,,,0.9772824410407114,,,511.0,481.0,762.0,656.0,6.0,827.0
Majuro,30000.0,,,,,,,,,,,,,,,,,,,,,
Palikir,6227.0,,,,,,,,,,,,,,,,,,,,,
Itahari,74501.0,71.0,41743.2536480604,,,,,,,,,,0.0,0.3317754673050815,,,,,,,,
Abbottabad,148587.0,72.0,20659.3193255447,,,,884.6027075554204,,,,,,0.0,0.2000051395332499,,,949.0,885.0,842.0,834.0,786.0,874.0
Faisalabad,3203846.0,403.0,40991.2534107,,58.43913368185213,,196.978414029078,,,,,24.36228947,0.0,0.3408082762688743,,,955.0,890.0,736.0,928.0,791.0,874.0
Gujranwala,2027001.0,259.0,31118.2572604627,,67.74394033561218,,,,,,,25.56873785,0.0,0.1832067880211906,,,987.0,925.0,921.0,906.0,756.0,874.0
Gujrat,390533.0,80.0,32003.6916213938,,,,,,,,,25.66894333,0.0,,,,,,,,,
Hyderabad (Pakistan),1732693.0,100.0,65797.2046131917,,,,,,,,,23.68878262,0.0,,,,985.0,963.0,843.0,860.0,904.0,874.0
Mardan,358604.0,148.0,22865.5355043182,,,,,,,,,26.41780032,0.0,0.236661433850272,,,941.0,878.0,828.0,819.0,800.0,874.0
Multan,1871843.0,329.0,23671.6078065507,,80.84800574919151,,,8.81953867028493,,,,25.69029907,0.0,0.2574532513489719,,,954.0,867.0,763.0,888.0,893.0,874.0
Peshawar,1970042.0,367.0,18915.0211361253,,90.14514896867838,,46.579396624273,10.6504709092509,,,,24.19562902,0.0,0.115110277252704,,,895.0,759.0,734.0,816.0,889.0,874.0
Quetta,1001205.0,100.0,12520.6215527832,,199.7991967871486,,,,,,,20.18407144,0.0,0.1278569745523797,,,940.0,778.0,892.0,830.0,831.0,874.0
Rawalpindi [Islamabad],2098231.0,400.0,20151.9015650122,,155.8336697618086,,462.8331711067919,,,,,33.68986529,0.0,0.3126779048109854,,,,,,,,
Sargodha,659862.0,72.0,30684.2423732309,,61.84586108468125,,,,,,,23.98181618,0.0,0.2846412159776465,,,,,,,,
Sialkot,655852.0,243.0,29999.3387488209,,58.20476858345021,,252.3899269817514,,,,,22.61000451,0.0,0.1476957236738743,,,976.0,904.0,836.0,922.0,844.0,874.0
Koror City,8744.0,,,,,,,,,,,,,,,,,,,,,
Port Moresby,700000.0,52.0,,,,,,,,,,,,0.4077415978290203,,,778.0,886.0,489.0,913.0,32.0,797.0
Angeles (San Fernando),462928.0,263.0,125348.710948058,,261.2359550561798,,239.3972173178313,,,,,21.32519196,0.0,,,,502.0,498.0,634.0,550.0,191.0,614.0
Bacolod,600783.0,96.0,27182.2015142935,,135.8428805237316,,,,,,,24.37704222,0.0,0.3122878105181596,,,538.0,546.0,739.0,695.0,12.0,614.0
Cagayan de Oro,728402.0,113.0,27686.7619460087,,,,630.4512396064716,,,,,23.29696741,0.0,0.139248194534561,,,487.0,450.0,514.0,626.0,338.0,614.0
Changwon,1046054.0,121.0,15310.1541533496,,155.1020408163265,,,,,,,,0.0,,,,435.0,907.0,824.0,178.0,394.0,148.0
Cheongju-si,833276.0,88.0,17039.1442584885,,,,2055.179050881147,,,,,,0.0,,,,,,,,,
Jeonju,631532.0,91.0,15378.3427490951,,141.6666666666667,,28890.87219997199,,,,,,0.0,,,,365.0,842.0,552.0,142.0,466.0,148.0
Astrakhan,532504.0,173.0,6662.34507269333,,441.2265758091993,,1075.113145167209,,,,,,0.0,0.3709668007961223,,,937.0,983.0,827.0,647.0,670.0,946.0
Barnaul,633301.0,128.0,6941.59065085359,,417.6570458404075,,646.2712093618035,0.0,,,,,0.0,0.4414697150256067,,,902.0,934.0,730.0,701.0,774.0,946.0
Chelyabinsk,1202371.0,301.0,8352.72531517854,,358.2608695652174,,2931.306802179256,,,,,,0.0,,,,786.0,923.0,527.0,575.0,749.0,946.0
Izhevsk,646277.0,126.0,11968.7671413025,,442.7480916030534,,4819.451070665566,,,,,,0.0,,,,893.0,954.0,804.0,563.0,748.0,946.0
Krasnodar,948827.0,215.0,6243.11834505359,,392.7738927738928,,2988.684435921648,,,,,,0.0,,,,583.0,402.0,584.0,573.0,515.0,946.0
Krasnoyarsk,1083865.0,219.0,11823.2837297994,,488.8438133874239,,2006.906621441292,,,,,,0.0,,,,776.0,821.0,484.0,688.0,776.0,946.0
Makhachkala,592976.0,127.0,11440.1558267932,,286.0061287027579,,23.57534522316152,,,,,,0.0,,,,707.0,785.0,567.0,648.0,467.0,946.0
Omsk,1178391.0,296.0,7834.76246237801,,498.158379373849,,5617.816456815379,,,,,,0.0,,,,852.0,902.0,682.0,693.0,732.0,946.0
Saratov,845300.0,184.0,10992.3805609569,,504.1551246537396,,5921.782755188511,,,,,,0.0,,,,813.0,926.0,624.0,638.0,645.0,946.0
Tolyatti,693072.0,132.0,,,481.532147742818,,,,,,,,,0.3882862260856937,,,,,,,,
